Source,Target,Weight,Type
1_Corinthians_1,2_Peter_1,2,undirected
1_Corinthians_1,Philippians_1,3,undirected
1_Corinthians_1,Romans_1,1,undirected
1_Corinthians_10,1_Corinthians_15,3,undirected
1_Corinthians_10,2_Corinthians_11,1,undirected
1_Corinthians_10,Ephesians_5,2,undirected
1_Corinthians_11,1_Corinthians_15,3,undirected
1_Corinthians_11,1_Peter_3,1,undirected
1_Corinthians_11,James_2,2,undirected
1_Corinthians_12,1_Corinthians_15,3,undirected
1_Corinthians_12,1_Corinthians_2,1,undirected
1_Corinthians_12,Galatians_4,1,undirected
1_Corinthians_12,Romans_2,2,undirected
1_Corinthians_13,1_Timothy_5,3,undirected
1_Corinthians_13,2_Peter_2,1,undirected
1_Corinthians_13,James_3,2,undirected
1_Corinthians_14,1_Corinthians_7,1,undirected
1_Corinthians_14,1_Peter_3,2,undirected
1_Corinthians_14,James_2,3,undirected
1_Corinthians_14,James_4,2,undirected
1_Corinthians_15,1_Corinthians_10,3,undirected
1_Corinthians_15,1_Corinthians_11,3,undirected
1_Corinthians_15,1_Corinthians_12,3,undirected
1_Corinthians_15,1_Corinthians_6,3,undirected
1_Corinthians_15,1_Peter_2,5,undirected
1_Corinthians_15,2_Corinthians_11,4,undirected
1_Corinthians_15,2_Corinthians_8,1,undirected
1_Corinthians_15,Galatians_1,2,undirected
1_Corinthians_15,Galatians_2,3,undirected
1_Corinthians_15,Philippians_3,3,undirected
1_Corinthians_15,Romans_10,2,undirected
1_Corinthians_15,Romans_11,3,undirected
1_Corinthians_15,Romans_14,1,undirected
1_Corinthians_15,Romans_8,1,undirected
1_Corinthians_16,1_Peter_3,3,undirected
1_Corinthians_16,2_Peter_2,1,undirected
1_Corinthians_16,Philippians_2,2,undirected
1_Corinthians_2,1_Corinthians_12,1,undirected
1_Corinthians_2,2_Corinthians_4,3,undirected
1_Corinthians_2,Romans_8,2,undirected
1_Corinthians_3,1_Peter_4,3,undirected
1_Corinthians_3,2_Corinthians_11,2,undirected
1_Corinthians_3,James_1,1,undirected
1_Corinthians_4,1_Peter_3,1,undirected
1_Corinthians_4,1_Timothy_5,2,undirected
1_Corinthians_4,Matthew_10,3,undirected
1_Corinthians_5,1_Peter_4,2,undirected
1_Corinthians_5,1_Thessalonians_5,1,undirected
1_Corinthians_5,Galatians_6,3,undirected
1_Corinthians_6,1_Corinthians_15,3,undirected
1_Corinthians_6,2_Timothy_2,2,undirected
1_Corinthians_6,James_4,1,undirected
1_Corinthians_7,1_Corinthians_14,1,undirected
1_Corinthians_7,1_Peter_3,2,undirected
1_Corinthians_7,2_Timothy_2,1,undirected
1_Corinthians_7,James_2,5,undirected
1_Corinthians_8,Hebrews_12,1,undirected
1_Corinthians_8,James_1,2,undirected
1_Corinthians_8,James_2,3,undirected
1_Corinthians_9,1_Peter_2,2,undirected
1_Corinthians_9,Galatians_5,1,undirected
1_Corinthians_9,James_3,3,undirected
1_John_1,1_John_2,1,undirected
1_John_1,Revelation_1,2,undirected
1_John_1,Titus_2,3,undirected
1_John_2,1_John_1,1,undirected
1_John_2,1_John_3,1,undirected
1_John_2,1_John_4,1,undirected
1_John_2,1_John_5,2,undirected
1_John_2,John_15,5,undirected
1_John_3,1_John_2,1,undirected
1_John_3,1_John_4,4,undirected
1_John_3,1_John_5,6,undirected
1_John_3,John_3,1,undirected
1_John_4,1_John_2,1,undirected
1_John_4,1_John_3,4,undirected
1_John_4,1_John_5,5,undirected
1_John_5,1_John_2,2,undirected
1_John_5,1_John_3,6,undirected
1_John_5,1_John_4,5,undirected
1_John_5,John_3,1,undirected
1_Peter_1,1_Peter_3,3,undirected
1_Peter_1,2_Corinthians_10,2,undirected
1_Peter_1,Jude_1,1,undirected
1_Peter_1,Philippians_1,4,undirected
1_Peter_1,Philippians_3,2,undirected
1_Peter_2,1_Corinthians_15,5,undirected
1_Peter_2,1_Corinthians_9,2,undirected
1_Peter_2,1_Peter_3,3,undirected
1_Peter_2,2_Corinthians_2,1,undirected
1_Peter_2,2_Timothy_2,2,undirected
1_Peter_2,Romans_4,1,undirected
1_Peter_3,1_Corinthians_11,1,undirected
1_Peter_3,1_Corinthians_14,2,undirected
1_Peter_3,1_Corinthians_16,3,undirected
1_Peter_3,1_Corinthians_4,1,undirected
1_Peter_3,1_Corinthians_7,2,undirected
1_Peter_3,1_Peter_1,3,undirected
1_Peter_3,1_Peter_2,3,undirected
1_Peter_3,1_Peter_4,3,undirected
1_Peter_3,1_Thessalonians_3,1,undirected
1_Peter_3,1_Timothy_1,5,undirected
1_Peter_3,1_Timothy_2,1,undirected
1_Peter_3,1_Timothy_5,3,undirected
1_Peter_3,2_Corinthians_13,3,undirected
1_Peter_3,2_Corinthians_2,2,undirected
1_Peter_3,2_Corinthians_9,3,undirected
1_Peter_3,2_Peter_3,2,undirected
1_Peter_3,2_Thessalonians_2,3,undirected
1_Peter_3,2_Timothy_2,5,undirected
1_Peter_3,2_Timothy_3,2,undirected
1_Peter_3,Colossians_2,1,undirected
1_Peter_3,Colossians_3,3,undirected
1_Peter_3,Ephesians_2,1,undirected
1_Peter_3,Ephesians_4,3,undirected
1_Peter_3,Ephesians_5,2,undirected
1_Peter_3,Ephesians_6,2,undirected
1_Peter_3,Galatians_1,3,undirected
1_Peter_3,Galatians_2,3,undirected
1_Peter_3,Hebrews_11,3,undirected
1_Peter_3,Hebrews_13,2,undirected
1_Peter_3,Hebrews_3,3,undirected
1_Peter_3,Hebrews_6,2,undirected
1_Peter_3,James_1,1,undirected
1_Peter_3,James_4,3,undirected
1_Peter_3,Philippians_1,3,undirected
1_Peter_3,Philippians_2,3,undirected
1_Peter_3,Romans_1,3,undirected
1_Peter_3,Romans_14,2,undirected
1_Peter_3,Romans_15,2,undirected
1_Peter_3,Romans_5,2,undirected
1_Peter_3,Titus_3,2,undirected
1_Peter_4,1_Corinthians_3,3,undirected
1_Peter_4,1_Corinthians_5,2,undirected
1_Peter_4,1_Peter_3,3,undirected
1_Peter_4,1_Peter_5,1,undirected
1_Peter_4,2_Corinthians_11,5,undirected
1_Peter_4,Ephesians_4,1,undirected
1_Peter_4,Ephesians_5,1,undirected
1_Peter_4,Hebrews_3,1,undirected
1_Peter_4,Romans_8,3,undirected
1_Peter_5,1_Peter_4,1,undirected
1_Peter_5,2_Peter_3,3,undirected
1_Peter_5,Colossians_4,2,undirected
1_Peter_5,Philippians_2,2,undirected
1_Peter_5,Romans_12,3,undirected
1_Thessalonians_1,2_Corinthians_1,5,undirected
1_Thessalonians_1,2_Peter_1,1,undirected
1_Thessalonians_1,2_Thessalonians_1,5,undirected
1_Thessalonians_2,1_Thessalonians_5,3,undirected
1_Thessalonians_2,2_Corinthians_8,2,undirected
1_Thessalonians_2,Ephesians_5,1,undirected
1_Thessalonians_3,1_Peter_3,1,undirected
1_Thessalonians_3,2_Corinthians_1,4,undirected
1_Thessalonians_3,2_Corinthians_8,2,undirected
1_Thessalonians_4,1_Thessalonians_5,6,undirected
1_Thessalonians_4,Ephesians_4,1,undirected
1_Thessalonians_4,Hebrews_13,2,undirected
1_Thessalonians_5,1_Corinthians_5,1,undirected
1_Thessalonians_5,1_Thessalonians_2,3,undirected
1_Thessalonians_5,1_Thessalonians_4,6,undirected
1_Thessalonians_5,2_Corinthians_10,3,undirected
1_Thessalonians_5,2_Corinthians_8,2,undirected
1_Thessalonians_5,2_Peter_2,2,undirected
1_Thessalonians_5,2_Thessalonians_3,3,undirected
1_Thessalonians_5,Galatians_6,4,undirected
1_Timothy_1,1_Peter_3,5,undirected
1_Timothy_1,1_Timothy_6,6,undirected
1_Timothy_1,2_Thessalonians_2,1,undirected
1_Timothy_1,2_Thessalonians_3,1,undirected
1_Timothy_1,2_Timothy_1,2,undirected
1_Timothy_1,2_Timothy_2,2,undirected
1_Timothy_1,Ephesians_6,1,undirected
1_Timothy_1,Philemon_1,2,undirected
1_Timothy_1,Titus_1,3,undirected
1_Timothy_2,1_Peter_3,1,undirected
1_Timothy_2,1_Timothy_3,3,undirected
1_Timothy_2,2_Corinthians_6,3,undirected
1_Timothy_2,Galatians_2,2,undirected
1_Timothy_3,1_Timothy_2,3,undirected
1_Timothy_3,1_Timothy_5,1,undirected
1_Timothy_3,2_Corinthians_6,1,undirected
1_Timothy_3,2_Peter_2,4,undirected
1_Timothy_3,2_Thessalonians_3,2,undirected
1_Timothy_3,James_1,3,undirected
1_Timothy_3,Titus_1,6,undirected
1_Timothy_3,Titus_2,2,undirected
1_Timothy_4,1_Timothy_6,2,undirected
1_Timothy_4,Ephesians_4,1,undirected
1_Timothy_4,Titus_3,3,undirected
1_Timothy_5,1_Corinthians_13,3,undirected
1_Timothy_5,1_Corinthians_4,2,undirected
1_Timothy_5,1_Peter_3,3,undirected
1_Timothy_5,1_Timothy_3,1,undirected
1_Timothy_5,Galatians_5,5,undirected
1_Timothy_6,1_Timothy_1,6,undirected
1_Timothy_6,1_Timothy_4,2,undirected
1_Timothy_6,2_Peter_1,3,undirected
1_Timothy_6,2_Peter_3,4,undirected
1_Timothy_6,2_Timothy_4,2,undirected
1_Timothy_6,Hebrews_11,3,undirected
1_Timothy_6,Hebrews_4,1,undirected
1_Timothy_6,Jude_1,3,undirected
1_Timothy_6,Philemon_1,1,undirected
1_Timothy_6,Philippians_4,3,undirected
1_Timothy_6,Romans_16,2,undirected
1_Timothy_6,Titus_2,1,undirected
2_Corinthians_1,1_Thessalonians_1,5,undirected
2_Corinthians_1,1_Thessalonians_3,4,undirected
2_Corinthians_1,2_Corinthians_7,2,undirected
2_Corinthians_1,2_Corinthians_8,6,undirected
2_Corinthians_1,2_Thessalonians_1,1,undirected
2_Corinthians_10,1_Peter_1,2,undirected
2_Corinthians_10,1_Thessalonians_5,3,undirected
2_Corinthians_10,Hebrews_13,1,undirected
2_Corinthians_11,1_Corinthians_10,1,undirected
2_Corinthians_11,1_Corinthians_15,4,undirected
2_Corinthians_11,1_Corinthians_3,2,undirected
2_Corinthians_11,1_Peter_4,5,undirected
2_Corinthians_11,2_Corinthians_12,3,undirected
2_Corinthians_11,Galatians_2,1,undirected
